BEDB	GROUP	AUTONYM	AUTONYM_IPA	LONGITUDE	LATITUDE	JINGPHAW	BURMESE	CHINESE	PINYIN	WIKI	GLOTTOLOG	ISO	Nishi1999	Burling1967	Mann1998
Maru	Maru	Lawngwaw	lɔ̃˥˧˩vɔ˧˩	24.94	99.83	Maru	Maru	浪速	Làngsù	Lhao Vo	maru1249	mhx	Langsu	Maru	Maru
Atsi	Atsi	Tsaiwa	tsai˧˩va˥˩	24.17	98.36	Atsi	Zi	载瓦	Zǎiwǎ 	Zaiwa	zaiw1241	atb	Zaiwa	Atsi	Zaiwa
Lashi	Lashi	Lachik	lă˧˩tʃʰi˥˩	26.1	98.55	Lashi	Lashi	勒期	Lèqí	Lashi	lash1243	lsi	Leqi		Lashi
Achang	Burmic	Ngochang	ŋa˨˩tʂhaŋ˨˩	24.35	97.74		Maintha	阿昌	Āchāng 	Achang	acha1249	acn	Achang		Achang
Xiandao	Burmic		kʰan˧˩tau˧˩	24.9263	98.2414			仙岛	Xiāndǎo	Xiandao	acha1249	acn			
Bola	Bola	Pela	po˧˩la˧˩	24.21	97.92			波拉	Bōlā 	Pela	pela1242	bxd	Bola		Bela
Chashan	Lashi		ŋɔ˧˩ tʃʰaŋ˥ 	26.0100975	98.6232345			茶山	Cháshān	Chashan	lash1243	lsi			
Burmese	Burmic							缅甸	Miǎndiàn	Burmese	sout3159	mya	Burmese	Burmese	Burmese
Old_Burmese	Burmic			21.1707194	94.8566241					Old Burmese	oldb1235	obr			
Hpun	Burmic			25.3248194	97.3544031					Hpon	hpon1238	hpo			Phon
Written_Burmese	Burmic														
Rangoon	Burmic			16.9037733	96.0294235										
Proto-Burmish	Lolo-Burmese													PB	
Lisu	Lolo-Burmese													Lisu	
Proto-Lolo-Burmese	Tibeto-Burman													PLB	
Lahu	Lolo-Burmese													Lahu	
Akha	Lolo-Burmese													Akha	
Proto-Lolo	Lolo-Burmese												PL	
